sfdr fdr k th h2 pnc pc nc i j maf_l maf_u
0.51219512195122 0.51219512195122 all 0.2 0.2 0.5 0.2 1000 1 7 0.01 0.05
0.51219512195122 0.51219512195122 all 0.4 0.2 0.5 0.2 1000 1 7 0.01 0.05
0.538461538461538 0.538461538461538 all 0.6 0.2 0.5 0.2 1000 1 7 0.01 0.05
0.545454545454545 0.545454545454545 all 0.8 0.2 0.5 0.2 1000 1 7 0.01 0.05
0.833333333333333 0.833333333333333 all 0.9 0.2 0.5 0.2 1000 1 7 0.01 0.05
0.547619047619048 0.559701492537313 all 0 0.2 0.5 0.2 1000 1 4 0.01 0.05
0.579831932773109 0.6 all 0.2 0.2 0.5 0.2 1000 1 4 0.01 0.05
0.616071428571429 0.635593220338983 all 0.4 0.2 0.5 0.2 1000 1 4 0.01 0.05
0.669902912621359 0.688073394495413 all 0.6 0.2 0.5 0.2 1000 1 4 0.01 0.05
0.711340206185567 0.735294117647059 all 0.8 0.2 0.5 0.2 1000 1 4 0.01 0.05
0.811594202898551 0.84 all 0.9 0.2 0.5 0.2 1000 1 4 0.01 0.05
0.554913294797688 0.554913294797688 all 0 0.2 0.5 0.2 1000 1 3 0.01 0.05
0.564705882352941 0.564705882352941 all 0.2 0.2 0.5 0.2 1000 1 3 0.01 0.05
0.588957055214724 0.588957055214724 all 0.4 0.2 0.5 0.2 1000 1 3 0.01 0.05
0.633663366336634 0.633663366336634 all 0.6 0.2 0.5 0.2 1000 1 3 0.01 0.05
0.676056338028169 0.676056338028169 all 0.8 0.2 0.5 0.2 1000 1 3 0.01 0.05
0.875 0.875 all 0.9 0.2 0.5 0.2 1000 1 3 0.01 0.05
0.529411764705882 0.53030303030303 all 0 0.2 0.5 0.2 1000 1 1 0.01 0.05
0.543956043956044 0.544041450777202 all 0.2 0.2 0.5 0.2 1000 1 1 0.01 0.05
0.575581395348837 0.573770491803279 all 0.4 0.2 0.5 0.2 1000 1 1 0.01 0.05
0.607361963190184 0.603448275862069 all 0.6 0.2 0.5 0.2 1000 1 1 0.01 0.05
0.647058823529412 0.644171779141104 all 0.8 0.2 0.5 0.2 1000 1 1 0.01 0.05
0.767676767676768 0.780952380952381 all 0.9 0.2 0.5 0.2 1000 1 1 0.01 0.05
0.512820512820513 0.509933774834437 all 0 0.2 0.5 0.2 1000 1 8 0.01 0.05
0.547945205479452 0.546099290780142 all 0.2 0.2 0.5 0.2 1000 1 8 0.01 0.05
0.551724137931034 0.55 all 0.4 0.2 0.5 0.2 1000 1 8 0.01 0.05
0.610687022900763 0.611111111111111 all 0.6 0.2 0.5 0.2 1000 1 8 0.01 0.05
0.666666666666667 0.669565217391304 all 0.8 0.2 0.5 0.2 1000 1 8 0.01 0.05
0.825 0.831168831168831 all 0.9 0.2 0.5 0.2 1000 1 8 0.01 0.05
0.574525745257453 0.576086956521739 all 0 0.2 0.5 0.2 1000 1 6 0.01 0.05
0.580821917808219 0.582417582417582 all 0.2 0.2 0.5 0.2 1000 1 6 0.01 0.05
0.60056657223796 0.603988603988604 all 0.4 0.2 0.5 0.2 1000 1 6 0.01 0.05
0.636636636636637 0.636636636636637 all 0.6 0.2 0.5 0.2 1000 1 6 0.01 0.05
0.668769716088328 0.668769716088328 all 0.8 0.2 0.5 0.2 1000 1 6 0.01 0.05
0.867924528301887 0.863207547169811 all 0.9 0.2 0.5 0.2 1000 1 6 0.01 0.05
0.504201680672269 0.504273504273504 all 0 0.2 0.5 0.2 1000 1 9 0.01 0.05
0.504201680672269 0.504273504273504 all 0.2 0.2 0.5 0.2 1000 1 9 0.01 0.05
0.526315789473684 0.526785714285714 all 0.4 0.2 0.5 0.2 1000 1 9 0.01 0.05
0.588235294117647 0.584158415841584 all 0.6 0.2 0.5 0.2 1000 1 9 0.01 0.05
0.618556701030928 0.614583333333333 all 0.8 0.2 0.5 0.2 1000 1 9 0.01 0.05
0.833333333333333 0.830508474576271 all 0.9 0.2 0.5 0.2 1000 1 9 0.01 0.05
0.507936507936508 0.511811023622047 all 0 0.2 0.5 0.2 1000 1 2 0.01 0.05
0.507936507936508 0.511811023622047 all 0.2 0.2 0.5 0.2 1000 1 2 0.01 0.05
0.547008547008547 0.555555555555556 all 0.4 0.2 0.5 0.2 1000 1 2 0.01 0.05
0.571428571428571 0.580357142857143 all 0.6 0.2 0.5 0.2 1000 1 2 0.01 0.05
0.598130841121495 0.601851851851852 all 0.8 0.2 0.5 0.2 1000 1 2 0.01 0.05
0.671875 0.676923076923077 all 0.9 0.2 0.5 0.2 1000 1 2 0.01 0.05
0.542857142857143 0.525 all 0 0.2 0.5 0.2 1000 1 5 0.01 0.05
0.542857142857143 0.525 all 0.2 0.2 0.5 0.2 1000 1 5 0.01 0.05
0.550724637681159 0.525 all 0.4 0.2 0.5 0.2 1000 1 5 0.01 0.05
0.575757575757576 0.567567567567568 all 0.6 0.2 0.5 0.2 1000 1 5 0.01 0.05
0.603174603174603 0.583333333333333 all 0.8 0.2 0.5 0.2 1000 1 5 0.01 0.05
0.789473684210526 0.857142857142857 all 0.9 0.2 0.5 0.2 1000 1 5 0.01 0.05
0.5 0.5 all 0 0.2 0.5 0.2 1000 1 10 0.01 0.05
0.5 0.5 all 0.2 0.2 0.5 0.2 1000 1 10 0.01 0.05
0.5 0.5 all 0.4 0.2 0.5 0.2 1000 1 10 0.01 0.05
0.5 0.5 all 0.6 0.2 0.5 0.2 1000 1 10 0.01 0.05
0.5 0.5 all 0.8 0.2 0.5 0.2 1000 1 10 0.01 0.05
0 0 all 0.9 0.2 0.5 0.2 1000 1 10 0.01 0.05
0.559092891408635 0.562720848056537 all 0 0.2 0.5 0.2 5000 1 7 0.01 0.05
0.589967786470318 0.594216417910448 all 0.2 0.2 0.5 0.2 5000 1 7 0.01 0.05
0.618427399903521 0.624203821656051 all 0.4 0.2 0.5 0.2 5000 1 7 0.01 0.05
0.64977192093259 0.654340010272214 all 0.6 0.2 0.5 0.2 5000 1 7 0.01 0.05
0.663561076604555 0.667015706806283 all 0.8 0.2 0.5 0.2 5000 1 7 0.01 0.05
0.645085803432137 0.653061224489796 all 0.9 0.2 0.5 0.2 5000 1 7 0.01 0.05
0.569092657903174 0.570019096117123 all 0 0.2 0.5 0.2 5000 1 8 0.01 0.05
0.59824738793394 0.600402279584311 all 0.2 0.2 0.5 0.2 5000 1 8 0.01 0.05
0.622370266479663 0.625349162011173 all 0.4 0.2 0.5 0.2 5000 1 8 0.01 0.05
0.651376146788991 0.654366094263792 all 0.6 0.2 0.5 0.2 5000 1 8 0.01 0.05
0.666291291291291 0.669532710280374 all 0.8 0.2 0.5 0.2 5000 1 8 0.01 0.05
0.659154929577465 0.670016750418761 all 0.9 0.2 0.5 0.2 5000 1 8 0.01 0.05
0.64694518232311 0.649585163494388 all 0 0.2 0.5 0.2 5000 1 4 0.01 0.05
0.685692347069363 0.688033083484104 all 0.2 0.2 0.5 0.2 5000 1 4 0.01 0.05
